uniprot	gene
O95573	ACSL3
B7ZBB8	PPP1R3G
Q9BXA6	TSSK6
Q5VZB9	DMRTA1
P11245	NAT2
Q8N1G0	ZNF687
P01706	IGLV2-11
O43513	MED7
Q02575	NHLH1
O94985	CLSTN1
A6NMK7	CPSF4L
P04433	IGKV3-11
Q14168	MPP2
Q9H5I5	PIEZO2
Q9H0Q0	CYRIA
Q9HCJ3	RAVER2
Q495N2	SLC36A3
Q6PK04	CCDC137
Q8N8U9	BMPER
A2NJV5	IGKV2-29
Q9BPZ2	SPIN2B
Q96QU6	ACCS
Q8NEX5	WFDC9
Q8NBI2	CYB561A3
Q8N5F7	NKAP
P43359	MAGEA5
P48145	NPBWR1
Q9P0N5	TMEM216
Q08289	CACNB2
Q14512	FGFBP1
Q9Y5J3	HEY1
Q8WV74	NUDT8
Q9UI46	DNAI1
Q15125	EBP
P07332	FES
A6NLC5	C3orf70
Q9H8W5	TRIM45
Q9Y279	VSIG4
Q8N2G6	ZCCHC24
P17677	GAP43
P49590	HARS2
Q8N4N3	KLHL36
Q96B02	UBE2W
Q9BQ39	DDX50
Q8IUZ0	LRRC49
Q15654	TRIP6
Q9Y397	ZDHHC9
O76036	NCR1
Q9H7C9	AAMDC
Q9UNM6	PSMD13
Q9HB75	PIDD1
O75943	RAD17
P0DI82	TRAPPC2B
P51398	DAP3
Q9H8T0	AKTIP
Q15751	HERC1
Q7Z6K1	THAP5
P52799	EFNB2
Q5SY80	CATSPERE
P03905	MT-ND4
O95684	CEP43
Q8N4W6	DNAJC22
P04220	IGHM
Q19T08	ECSCR
Q86YV9	HPS6
Q9BWN1	PRR14
Q9BV81	EMC6
Q9UJF2	RASAL2
Q9NZQ9	TMOD4
Q13241	KLRD1
Q5H9F3	BCORL1
Q9C0A0	CNTNAP4
Q96R84	OR1F2P
Q9BUP0	EFHD1
A1L453	PRSS38
Q96T58	SPEN
Q9Y5H1	PCDHGA2
Q4FZB7	KMT5B
Q14974	KPNB1
Q8TAM6	ERMN
Q969F0	FATE1
Q8N5X7	EIF4E3
O95865	DDAH2
Q8TE69	EOLA1
Q86UW7	CADPS2
Q9BRY0	SLC39A3
Q6P5X5	C22orf39
O15173	PGRMC2
Q04844	CHRNE
Q8NGK2	OR52B4
Q9Y4X1	UGT2A1
Q9Y4X1	UGT2A2
O43674	NDUFB5
Q15940	ZNF726P1
Q86YV6	MYLK4
Q12907	LMAN2
O60242	ADGRB3
P49918	CDKN1C
Q8NE31	FAM13C
Q9H093	NUAK2
Q9BVJ6	UTP14A
P62987	UBA52
Q8WXW3	PIBF1
Q5EE01	CENPW
Q9Y2G8	DNAJC16
O15540	FABP7
P12104	FABP2
P31943	HNRNPH1
Q9NQL9	DMRT3
Q8N142	ADSS1
Q8N7U6	EFHB
Q8WXF3	RLN3
Q13425	SNTB2
O95235	KIF20A
Q8NH61	OR51F2
Q68DH5	LMBRD2
Q08499	PDE4D
Q6ZMS7	ZNF783
Q01826	SATB1
Q8N5Q1	FAM71E2
Q9NZN3	EHD3
O00453	LST1
P01825	IGHV4-59
Q7Z5Y7	KCTD20
Q7Z406	MYH14
Q14554	PDIA5
Q8IVF6	ANKRD18A
P49223	SPINT3
Q6P996	PDXDC1
P53672	CRYBA2
P02042	HBD
Q3ZCN5	OTOGL
Q96JN2	CCDC136
Q92900	UPF1
Q2M2I3	FAM83E
O14792	HS3ST1
P56645	PER3
P16402	H1-3
Q8N3J2	METTL4
Q6ZN06	ZNF813
P0C7X2	ZNF688
Q6JVE6	LCN10
Q6UXB8	PI16
Q99623	PHB2
Q7L0Y3	TRMT10C
Q7Z7D3	VTCN1
Q6AHZ1	ZNF518A
Q92527	ANKRD7
Q86UT8	CCDC84
P23763	VAMP1
P43360	MAGEA6
A0A1B0GUX0	ATP6V1FNB
Q99732	LITAF
Q9ULM2	ZNF490
Q5DJT8	CT45A2
Q86WG5	SBF2
Q15366	PCBP2
Q09472	EP300
Q6VB84	FOXD4L3
P49795	RGS19
Q13206	DDX10
Q68DL7	C18orf63
P54849	EMP1
Q9NPG8	ZDHHC4
Q9NYW0	TAS2R10
Q96Q05	TRAPPC9
A6NK59	ASB14
Q5TAT6	COL13A1
P01036	CST4
P01716	IGLV3-1
Q9Y3E1	HDGFL3
Q9GIY3	HLA-DRB1
Q15147	PLCB4
Q8WXG8	S100Z
Q8NEQ6	SRARP
P52739	ZNF131
P51693	APLP1
Q96PE1	ADGRA2
Q92777	SYN2
P55199	ELL
Q9H6Z4	RANBP3
P05814	CSN2
P05091	ALDH2
Q86Y33	CDC20B
Q8N8G2	VGLL2
Q9P2R6	RERE
Q9NZK7	PLA2G2E
P25686	DNAJB2
Q96EQ0	SGTB
Q6ZNB7	AGMO
Q96D98	EID2B
Q8IWA5	SLC44A2
O95760	IL33
P35367	HRH1
Q9ULY5	CLEC4E
Q8WV48	CCDC107
Q5TEJ8	THEMIS2
Q5T3U5	ABCC10
Q9NV31	IMP3
Q9NPH9	IL26
P49335	POU3F4
Q9Y548	YIPF1
Q8WW24	TEKT4
Q7Z4G4	TRMT11
P53992	SEC24C
Q96T23	RSF1
Q9H2L5	RASSF4
Q8NGL2	OR5L1
Q9NPA3	MID1IP1
Q969N4	TAAR8
Q96NH3	TBC1D32
Q02548	PAX5
Q5MNZ9	WIPI1
Q96QK1	VPS35
P37268	FDFT1
Q9BW71	HIRIP3
O95136	S1PR2
P21359	NF1
Q6DCA0	AMMECR1L
Q9HAH7	FBRS
A8MY62	LACTBL1
Q9UMS6	SYNPO2
Q86XT9	TMEM219
Q15776	ZKSCAN8
Q68DX3	FRMPD2
Q14641	INSL4
Q9H9Z2	LIN28A
Q9BT17	MTG1
O75381	PEX14
P0C881	RSPH10B
Q9UIK5	TMEFF2
Q6ZUV0	ACOT7L
Q9NX05	FAM120C
Q86TL2	STIMATE
P28799	GRN
P20231	TPSB2
Q9BVK6	TMED9
P55197	MLLT10
P38159	RBMX
Q2TAA5	ALG11
I3L273	GFY
Q5SRD0	WASHC2D
Q01459	CTBS
Q15154	PCM1
P57071	PRDM15
Q70Z44	HTR3D
Q96EH5	RPL39L
P16109	SELP
Q9H0W7	THAP2
P52333	JAK3
P54851	EMP2
Q02742	GCNT1
Q6NX45	ZNF774
Q68D10	SPTY2D1
P20810	CAST
P62837	UBE2D2
Q8IW00	VSTM4
O60312	ATP10A
Q03692	COL10A1
Q8N3D4	EHBP1L1
Q6NSH3	CT45A10
Q6NSH3	CT45A5
Q92747	ARPC1A
P21281	ATP6V1B2
P28068	HLA-DMB
Q9H2W2	MIXL1
Q9NSQ0	RRP7BP
Q9BRL7	SEC22C
A6NNW6	ENO4
O15535	ZSCAN9
Q9P2E3	ZNFX1
P56937	HSD17B7
O14990	PPP1R2C
Q9C010	PKIB
Q9NYQ3	HAO2
Q8IUD6	RNF135
Q68D42	TMEM215
Q9Y2V2	CARHSP1
Q86UL3	GPAT4
O95415	BRI3
Q969Y2	GTPBP3
Q8NH76	OR56B4
Q5SNT6	WASHC2A
A6NGB9	WIPF3
Q96GM1	PLPPR2
P20702	ITGAX
Q96LL3	C16orf92
Q96LB0	MRGPRX3
Q9ULI0	ATAD2B
Q9UHN6	CEMIP2
O95994	AGR2
P31689	DNAJA1
Q9NY65	TUBA8
A6NCI4	VWA3A
Q6NZ67	MZT2B
Q9H579	MROH8
Q96K19	RNF170
Q15527	SURF2
A0PJZ0	ANKRD20A5P
Q14541	HNF4G
Q9H3M0	KCNF1
Q92928	RAB1C
Q86VV8	RTTN
Q96C90	PPP1R14B
P22528	SPRR1B
Q14129	DGCR6
Q86VW1	SLC22A16
P19971	TYMP
Q5VY09	IER5
P10826	RARB
Q9BS40	LXN
Q07444	KLRC3
Q14242	SELPLG
Q9NRR1	CYTL1
Q96ED9	HOOK2
P06213	INSR
Q8IVS8	GLYCTK
Q00722	PLCB2
P36543	ATP6V1E1
Q3LI54	KRTAP19-8
O43447	PPIH
Q6UWN0	LYPD4
P49758	RGS6
P0DJD8	PGA3
Q9H3Z7	ABHD16B
Q8NCQ5	FBXO15
P25021	HRH2
P11117	ACP2
Q6NY19	KANK3
P09104	ENO2
Q71F56	MED13L
Q96EL2	MRPS24
Q6ZSY5	PPP1R3F
Q9HAN9	NMNAT1
Q8WTU0	DDI1
Q86VW0	SESTD1
P55212	CASP6
P43121	MCAM
Q9NP50	SINHCAF
Q9Y5W7	SNX14
Q6GTS8	PM20D1
Q9NP61	ARFGAP3
Q86UP6	CUZD1
Q96JE9	MAP6
Q8IYJ1	CPNE9
A6NGR9	MROH6
Q16621	NFE2
Q86UQ8	NFE4
Q8NFP0	PXT1
Q9BS34	ZNF670
Q9BYQ9	KRTAP4-8
P51508	ZNF81
Q14154	DELE1
Q9NPI8	FANCF
Q9HBM1	SPC25
O95833	CLIC3
Q9H169	STMN4
Q13255	GRM1
P0C628	OR5AC1
Q8WW01	TSEN15
P16662	UGT2B7
Q96DE9	EOLA2
Q2TAY7	SMU1
O60812	HNRNPCL1
Q8IXH6	TP53INP2
Q08357	SLC20A2
A6NJV1	FAM166C
P27797	CALR
Q6ZTR5	CFAP47
P15172	MYOD1
P49760	CLK2
Q5VZ03	NXNL2
P55809	OXCT1
P36406	TRIM23
O43683	BUB1
A6NGJ6	TRIM64
P68366	TUBA4A
Q5HYM0	ZC3H12B
Q9HC52	CBX8
Q13322	GRB10
Q6PUV4	CPLX2
Q01523	DEFA5
O14682	ENC1
Q8N8B7	TCEANC
Q7Z4R8	C6orf120
A0A075B706	TRDJ1
Q8NGH7	OR52L1
O60330	PCDHGA12
Q9UPT5	EXOC7
Q9H1K1	ISCU
Q96TA0	PCDHB18P
Q9Y603	ETV7
Q9NRD1	FBXO6
Q96PQ7	KLHL5
Q9ULC6	PADI1
Q9BYX4	IFIH1
Q9Y5E5	PCDHB4
P20585	MSH3
Q8WU90	ZC3H15
Q9P2W3	GNG13
P36896	ACVR1B
O75752	B3GALNT1
Q8NHP1	AKR7L
Q9BTV5	FSD1
P48048	KCNJ1
Q9HB19	PLEKHA2
O00295	TULP2
Q9NYZ3	GTSE1
Q3SXZ3	ZNF718
Q7Z3V4	UBE3B
Q99943	AGPAT1
Q8N7M0	TCTEX1D1
Q96QG7	MTMR9
P54107	CRISP1
O95866	MPIG6B
O95716	RAB3D
O15083	ERC2
P36021	SLC16A2
P09110	ACAA1
P16860	NPPB
Q92925	SMARCD2
A4D1E9	GTPBP10
P21815	IBSP
Q96CX3	ZNF501
Q75MW2	ZNF767P
P21108	PRPS1L1
Q96B18	DACT3
A8MXK1	VSTM5
Q9H089	LSG1
Q4LDG9	DNAL1
P52701	MSH6
Q9NVV9	THAP1
O94766	B3GAT3
Q96AQ6	PBXIP1
Q96N96	SPATA13
P46736	BRCC3
Q8TCI5	PIFO
O75106	AOC2
P05386	RPLP1
Q5GH76	XKR4
Q08462	ADCY2
A6NCF5	KLHL33
A6NM66	LINC01548
Q96EP9	SLC10A4
P35270	SPR
Q6NUN9	ZNF746
P19022	CDH2
O94986	CEP152
P16234	PDGFRA
Q9UMS5	PHTF1
Q92519	TRIB2
P28072	PSMB6
Q16589	CCNG2
Q9BZ72	PITPNM2
P01903	HLA-DRA
P21675	TAF1
Q8NGC6	OR4K17
Q8TC94	ACTL9
Q8NHA4	OR2AE1
P83859	QRFP
O94842	TOX4
P0C7I0	USP17L8
Q9BPZ3	PAIP2
Q15928	ZNF141
Q14376	GALE
Q13232	NME3
P49368	CCT3
P0DP74	DEFB130A
Q6IF36	OR8G2P
O43182	ARHGAP6
Q66PJ3	ARL6IP4
Q9ULX6	AKAP8L
Q6QHF9	PAOX
P86790	CCZ1B
Q8TER0	SNED1
Q9BQ04	RBM4B
P15954	COX7C
Q92997	DVL3
Q8NEJ9	NGDN
Q9GZY0	NXF2
Q9GZY0	NXF2B
O43679	LDB2
O14974	PPP1R12A
P47944	MT4
Q14CZ0	C16orf72
Q6P461	ACSM6
Q5BKT4	ALG10
Q9Y217	MTMR6
P78424	POU6F2
Q96S94	CCNL2
Q9H334	FOXP1
P0DMN0	SULT1A4
Q96MU7	YTHDC1
A0A0B4J1Z2	IGKV1D-43
A1A4G5	LNP1
O00154	ACOT7
O75689	ADAP1
Q8NAP1	CASTOR3
Q8N8J7	FAM241A
Q96C11	FGGY
Q9BPW8	NIPSNAP1
P01137	TGFB1
Q96Q11	TRNT1
P20248	CCNA2
A6NP61	ZAR1L
Q9UPQ7	PDZRN3
Q5BN46	C9orf116
Q5M775	SPECC1
P34059	GALNS
Q8WW52	FAM151A
A8MTL3	RNF212B
Q9BRH9	ZNF251
P78362	SRPK2
O95863	SNAI1
Q8NDB2	BANK1
Q9H2C0	GAN
P49448	GLUD2
Q86WI0	LHFPL1
Q96G75	RMND5B
Q15111	PLCL1
Q9BZL3	SMIM3
P27449	ATP6V0C
Q9NSN8	SNTG1
P46459	NSF
Q96D42	HAVCR1
Q5TF58	IFFO2
O14498	ISLR
Q6P1Q0	LETMD1
Q9HAU8	RNPEPL1
A2A2V5	SERTM1
Q9BSA4	TTYH2
P36897	TGFBR1
P51685	CCR8
Q01780	EXOSC10
A4QMS7	C5orf49
Q92665	MRPS31
Q92784	DPF3
P48444	ARCN1
Q15058	KIF14
Q495D7	LINC01559
Q9P0N8	MARCHF2
A0A087WW87	IGKV2-40
Q13021	MALL
Q96LX7	CCDC17
Q8NGU4	OR2I1P
Q9H7P9	PLEKHG2
O75954	TSPAN9
P0CG48	UBC
O43542	XRCC3
Q9NVN8	GNL3L
Q3KPI0	CEACAM21
Q15185	PTGES3
Q9H081	MIS12
Q5T7N2	L1TD1
Q8WUF5	PPP1R13L
Q9Y4E1	WASHC2C
Q9ULC5	ACSL5
Q8IUC8	GALNT13
Q8TDQ7	GNPDA2
A6NDL7	METTL21EP
O95620	DUS4L
P01615	IGKV2D-28
P10451	SPP1
O75794	CDC123
Q03933	HSF2
Q8NEM0	MCPH1
Q8NH10	OR8U1
Q9H0T7	RAB17
Q70IA6	MOB2
Q8NGA4	GPR32P1
P31948	STIP1
Q9BSG0	PRADC1
Q9BXJ1	C1QTNF1
Q86SX3	TEDC1
Q13061	TRDN
Q96G04	EEF2KMT
Q9NXC2	GFOD1
Q8WVE0	EEF1AKMT1
P59091	LINC00315
P19256	CD58
Q96AP7	ESAM
Q9HAW9	UGT1A8
Q6ZVN8	HJV
Q9H6W3	RIOX1
P04155	TFF1
Q96S90	LYSMD1
P40198	CEACAM3
Q8NI35	PATJ
Q9UBN6	TNFRSF10D
Q9NV35	NUDT15
P30485	HLA-B
P00797	REN
Q9UKZ1	CNOT11
Q9NY87	SPANXC
O00238	BMPR1B
A1L162	ERICH2
Q8NGD5	OR4K14
Q9H5U6	ZCCHC4
P53814	SMTN
P25874	UCP1
Q5SY68	S100A7L2
Q06730	ZNF33A
P56557	TMEM50B
Q9Y2C4	EXOG
Q9NYP7	ELOVL5
P40145	ADCY8
Q9UMX2	OAZ3
P01850	TRBC1
A8MWE9	EFCAB8
Q8N9F7	GDPD1
Q99549	MPHOSPH8
P0C6P0	NBEAP1
P08173	CHRM4
P68402	PAFAH1B2
Q9NYW2	TAS2R8
Q8NG57	ELOA3
A0A075B6S4	IGKV1D-17
Q13201	MMRN1
Q4L180	FILIP1L
Q9BVI0	PHF20
Q96PD7	DGAT2
O14921	RGS13
O60287	URB1
O60840	CACNA1F
P14138	EDN3
P22301	IL10
Q9UGC6	RGS17
P08319	ADH4
P29016	CD1B
Q96L21	RPL10L
O75191	XYLB
P41162	ETV3
A7MBM2	DISP2
O14975	SLC27A2
Q0VAA5	PLCXD2
O15131	KPNA5
P21810	BGN
Q86SM8	MRGPRE
O60293	ZFC3H1
Q8ND56	LSM14A
Q7Z698	SPRED2
Q5T2P8	ANXA8
Q9H2Y9	SLCO5A1
Q8IVG5	SAMD9L
P33681	CD80
Q5H9L4	TAF7L
O43633	CHMP2A
Q5DX21	IGSF11
Q71RS6	SLC24A5
Q8NGP2	OR8J1
O15040	TECPR2
Q9Y295	DRG1
A6NET4	OR5K3
Q13438	OS9
Q9H2M3	BHMT2
A0A286YF46	SCYGR5
Q6NXR4	TTI2
Q9Y278	HS3ST2
Q9Y5K8	ATP6V1D
P33765	ADORA3
P33765	TMIGD3
Q13148	TARDBP
Q6UWT2	ENHO
Q8IXL9	IQCF2
Q14416	GRM2
Q96P64	AGAP4
Q3I5F7	ACOT6
Q5VYY1	ANKRD22
P23490	LORICRIN
Q969E2	SCAMP4
Q8ND04	SMG8
A0A075B6V5	TRAV36DV7
Q9NZB2	FAM120A
O75366	AVIL
P01891	HLA-A
Q8NC38	ZNF436-AS1
P38646	HSPA9
Q9UFC0	LRWD1
P43251	BTD
Q96GK7	FAHD2A
Q9Y3C8	UFC1
Q8TDN1	KCNG4
P41235	HNF4A
Q14151	SAFB2
P19388	POLR2E
Q5T5S1	CCDC183
P35372	OPRM1
P10265	ERVK-10
Q13261	IL15RA
Q9BW91	NUDT9
P51610	HCFC1
Q9UKF2	ADAM30
Q96PB1	CASD1
Q08AH3	ACSM2A
Q13330	MTA1
O75461	E2F6
Q8TEA7	TBCK
Q6ZT12	UBR3
P35504	UGT1A5
P28358	HOXD10
Q96QH2	PRAM1
O60281	ZNF292
Q96M29	TEKT5
P10243	MYBL1
Q96DA6	DNAJC19
O75937	DNAJC8
Q9Y605	MRFAP1
Q9BY07	SLC4A5
Q5VZT2	C10orf113
B2RD01	CENPBD1
Q86WV5	TEN1
P32298	GRK4
Q7Z3J2	VPS35L
P82673	MRPS35
P04233	CD74
Q5VXI9	LIPN
Q32P44	EML3
P17600	SYN1
Q04725	TLE2
O60884	DNAJA2
Q9UBU9	NXF1
P26373	RPL13
O43889	CREB3
P00451	F8
O43164	PJA2
Q8NGZ4	OR2G3
Q8IY92	SLX4
P0DMM9	SULT1A3
O75541	ZNF821
O43364	HOXA2
P16284	PECAM1
Q9UBK9	UXT
Q9Y4P1	ATG4B
P07585	DCN
Q9H244	P2RY12
Q9ULK2	ATXN7L1
P10253	GAA
P48059	LIMS1
P61968	LMO4
O94927	HAUS5
Q92930	RAB8B
Q969Q1	TRIM63
P0C7U9	FAM87A
Q9BV86	NTMT1
Q9Y5F8	PCDHGB7
Q9UNK4	PLA2G2D
P08246	ELANE
P63151	PPP2R2A
Q9P2D1	CHD7
P17019	ZNF708
P23560	BDNF
Q6UWV7	SHISAL2A
P22460	KCNA5
O76001	OR2J3
Q8TD91	MAGEC3
Q9BRR8	GPATCH1
Q9YNA8	ERVK-19
Q96FV0	LRRC46
Q96JX3	SERAC1
Q50LG9	LRRC24
Q9Y5E7	PCDHB2
P01780	IGHV3-7
Q86WA9	SLC26A11
Q9NX18	SDHAF2
Q71F23	CENPU
Q9UFB7	ZBTB47
A0A2R8YFM6	OOSP3
Q9BYC9	MRPL20
Q8NE71	ABCF1
P40199	CEACAM6
O75911	DHRS3
Q9NQE9	HINT3
Q6AW86	ZNF324B
Q6UY11	DLK2
Q76N89	HECW1
Q8NFV4	ABHD11
P55103	INHBC
Q86XK2	FBXO11
Q9P2A4	ABI3
Q9P0G3	KLK14
Q4G0N8	SLC9C1
Q9BZG8	DPH1
O00291	HIP1
Q58FG0	HSP90AA5P
Q96C36	PYCR2
Q3ZCW2	LGALSL
Q9H015	SLC22A4
A0A1B0GTD5	TEX49
A0A584	TRBV11-2
P20807	CAPN3
Q7L7X3	TAOK1
H0YM25	GOLGA6L22
Q9Y333	LSM2
P58401	NRXN2
Q6PEY1	TMEM88
P61026	RAB10
Q9Y2W1	THRAP3
Q9NST1	PNPLA3
Q495X7	TRIM60
Q5T280	SPOUT1
O75792	RNASEH2A
O43567	RNF13
P30740	SERPINB1
Q6P1M0	SLC27A4
O43424	GRID2
Q9BTD1	SHANK2-AS3
Q12996	CSTF3
Q8NFJ5	GPRC5A
Q96GN5	CDCA7L
Q2MKA7	RSPO1
Q9Y3T9	NOC2L
Q6IS24	GALNT17
Q3BBW0	NBPF20
Q3BBW0	NBPF9
Q8TDX7	NEK7
Q9UGK8	SERGEF
Q8NHW4	CCL4L1
Q8NHW4	CCL4L2
Q9BWE0	REPIN1
Q6YFQ2	COX6B2
P21580	TNFAIP3
P05090	APOD
Q9UJ96	KCNG2
P01766	IGHV3-13
Q9P2C4	TMEM181
Q309B1	TRIM16L
Q14789	GOLGB1
O60494	CUBN
O76027	ANXA9
Q9BR76	CORO1B
P63098	PPP3R1
Q8N365	CIART
O43529	CHST10
Q8N6N7	ACBD7
Q9Y5W5	WIF1
P29275	ADORA2B
Q86UE4	MTDH
Q15170	TCEAL1
Q7RTN6	STRADA
Q9P206	KIAA1522
Q8TF32	ZNF431
Q96MX0	CMTM3
Q86SF2	GALNT7
Q8TF09	DYNLRB2
Q9C019	TRIM15
P42694	HELZ
Q7L513	FCRLA
Q8NCL8	TMEM116
Q8NG84	OR2AK2
Q969P0	IGSF8
O75360	PROP1
Q8IWA6	CCDC60
P16444	DPEP1
Q9HAT1	LMAN1L
Q7L1V2	MON1B
P0CG41	CTAGE8
P61604	HSPE1
Q9BX10	GTPBP2
O15304	SIVA1
Q8N4P6	LRRC71
Q8NCL4	GALNT6
Q9NZQ3	NCKIPSD
O94844	RHOBTB1
Q8WXS4	TMEM37
P55327	TPD52
Q96H40	ZNF486
P07478	PRSS2
Q8N474	SFRP1
Q8NGC3	OR10G2
P15104	GLUL
P47872	SCTR
Q92826	HOXB13
Q9GZM7	TINAGL1
Q6PJQ5	FOXR2
Q96RY5	CRAMP1
Q9BRD0	BUD13
Q9GZR2	REXO4
Q9NQ11	ATP13A2
Q96QU4	FRG2B
Q99961	SH3GL1
P22362	CCL1
Q9BRP8	PYM1
Q8TAI1	TYMSOS
Q15813	TBCE
Q13191	CBLB
Q9H078	CLPB
P32246	CCR1
Q587J8	KHDC3L
Q9Y3M8	STARD13
Q9UBU7	DBF4
O00168	FXYD1
Q86YJ6	THNSL2
Q96PY5	FMNL2
A8K4G0	CD300LB
Q9NPC8	SIX2
Q9Y664	KPTN
O94919	ENDOD1
Q7Z4U5	C6orf201
Q08209	PPP3CA
Q9BZW5	TM6SF1
Q5H9J7	BEX5
O75309	CDH16
Q5JV73	FRMPD3
P69905	HBA1
P69905	HBA2
Q9BX70	BTBD2
O71037	ERVK-19
O75608	LYPLA1
P62253	UBE2G1
Q9NYV7	TAS2R16
Q96H35	RBM18
Q92750	TAF4B
Q9BRG2	SH2D3A
Q92622	RUBCN
Q96IG2	FBXL20
Q16281	CNGA3
P20336	RAB3A
Q92688	ANP32B
O43257	ZNHIT1
Q96M61	MAGEB18
P0CG36	CFC1B
P40261	NNMT
Q9UNF0	PACSIN2
Q96HJ9	FMC1
Q8IW75	SERPINA12
Q86Y25	ZNF354C
A6NNV3	SPDYE16
A1A5D9	BICDL2
P11509	CYP2A6
P46783	RPS10
Q86Y78	LYPD6
Q14206	RCAN2
P49591	SARS1
Q96GX8	C16orf74
P46108	CRK
P01286	GHRH
Q96T52	IMMP2L
Q9NVG8	TBC1D13
Q9HCH0	NCKAP5L
