struct_id	drug_name	SMILES	InChI	InChIKey	ID	CAS_RN	is_in_drugcentral	is_in_jdti	is_in_hcq	is_in_nhc	is_in_cam	is_in_drugs	node_type	metadata
181	amitriptylinoxide	C[N+](C)([O-])CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2	InChI=1S/C20H23NO/c1-21(2,22)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	ZPMKQFOGINQDAM-UHFFFAOYSA-N	181.0	4317-14-0	True	False	False	False	False	True	Compound	
182	amlexanox	CC(C)C1=CC=C2OC3=C(C=C(C(O)=O)C(N)=N3)C(=O)C2=C1	InChI=1S/C16H14N2O4/c1-7(2)8-3-4-12-9(5-8)13(19)10-6-11(16(20)21)14(17)18-15(10)22-12/h3-7H,1-2H3,(H2,17,18)(H,20,21)	SGRYPYWGNKJSDL-UHFFFAOYSA-N	182.0	68302-57-8	True	False	False	False	False	True	Compound	
183	amlodipine	CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=C(Cl)C=CC=C1)C(=O)OC	InChI=1S/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3	HTIQEAQVCYTUBX-UHFFFAOYSA-N	183.0	88150-42-9	True	False	False	False	False	True	Compound	
191	amoxapine	ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1	InChI=1S/C17H16ClN3O/c18-12-5-6-15-13(11-12)17(21-9-7-19-8-10-21)20-14-3-1-2-4-16(14)22-15/h1-6,11,19H,7-10H2	QWGDMFLQWFTERH-UHFFFAOYSA-N	191.0	14028-44-5	True	False	False	False	False	True	Compound	
198	ampicillin	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O	InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10-,11+,14-/m1/s1	AVKUERGKIZMTKX-NJBDSQKTSA-N	198.0	69-53-4	True	False	False	False	False	True	Compound	
213	androisoxazole	C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC5=NOC=C5C[C@]4(C)[C@H]3CC[C@]12C	InChI=1S/C21H31NO2/c1-19-11-13-12-24-22-18(13)10-14(19)4-5-15-16(19)6-8-20(2)17(15)7-9-21(20,3)23/h12,14-17,23H,4-11H2,1-3H3/t14-,15+,16-,17-,19-,20-,21-/m0/s1	NSYTUNFHWYMMHU-IYRCEVNGSA-N	213.0	360-66-7	True	False	False	False	False	True	Compound	
214	androstenediol	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC[C@@H]2O	InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-17,20-21H,4-11H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1	QADHLRWLCPCEKT-LOVVWNRFSA-N	214.0	521-17-5	True	False	False	False	False	True	Compound	
219	anhydrovinblastine	CCC1=C[C@@H]2C[N@](C1)CCC1=C(NC3=CC=CC=C13)[C@@](C2)(C(=O)OC)C1=C(OC)C=C2N(C)[C@@H]3[C@]4(CCN5CC=C[C@](CC)([C@@H]45)[C@@H](OC(C)=O)[C@]3(O)C(=O)OC)C2=C1	InChI=1S/C46H56N4O8/c1-8-28-21-29-24-45(41(52)56-6,37-31(15-19-49(25-28)26-29)30-13-10-11-14-34(30)47-37)33-22-32-35(23-36(33)55-5)48(4)39-44(32)17-20-50-18-12-16-43(9-2,38(44)50)40(58-27(3)51)46(39,54)42(53)57-7/h10-14,16,21-23,29,38-40,47,54H,8-9,15,17-20,24-26H2,1-7H3/t29-,38-,39+,40+,43+,44+,45-,46-/m0/s1	FFRFGVHNKJYNOV-ZCIMLLHDSA-N	219.0	38390-45-3	True	False	False	False	False	True	Compound	
222	anisindione	COC1=CC=C(C=C1)C1C(=O)C2=C(C=CC=C2)C1=O	InChI=1S/C16H12O3/c1-19-11-8-6-10(7-9-11)14-15(17)12-4-2-3-5-13(12)16(14)18/h2-9,14H,1H3	XRCFXMGQEVUZFC-UHFFFAOYSA-N	222.0	117-37-3	True	False	False	False	False	True	Compound	
228	apomorphine	CN1CCC2=C3[C@H]1CC1=CC=C(O)C(O)=C1C3=CC=C2	InChI=1S/C17H17NO2/c1-18-8-7-10-3-2-4-12-15(10)13(18)9-11-5-6-14(19)17(20)16(11)12/h2-6,13,19-20H,7-9H2,1H3/t13-/m1/s1	VMWNQDUVQKEIOC-CYBMUJFWSA-N	228.0	58-00-4	True	False	False	False	False	True	Compound	
239	argatroban	C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2	InChI=1S/C23H36N6O5S/c1-14-8-10-29(18(12-14)22(31)32)21(30)17(6-4-9-26-23(24)25)28-35(33,34)19-7-3-5-16-11-15(2)13-27-20(16)19/h3,5,7,14-15,17-18,27-28H,4,6,8-13H2,1-2H3,(H,31,32)(H4,24,25,26)/t14-,15?,17+,18-/m1/s1	KXNPVXPOPUZYGB-IOVMHBDKSA-N	239.0	74863-84-6	True	False	False	False	False	True	Compound	
242	aripiprazole	ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl	InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)	CEUORZQYGODEFX-UHFFFAOYSA-N	242.0	129722-12-9	True	False	False	False	False	True	Compound	
249	astemizole	COC1=CC=C(CCN2CCC(CC2)NC2=NC3=C(C=CC=C3)N2CC2=CC=C(F)C=C2)C=C1	InChI=1S/C28H31FN4O/c1-34-25-12-8-21(9-13-25)14-17-32-18-15-24(16-19-32)30-28-31-26-4-2-3-5-27(26)33(28)20-22-6-10-23(29)11-7-22/h2-13,24H,14-20H2,1H3,(H,30,31)	GXDALQBWZGODGZ-UHFFFAOYSA-N	249.0	68844-77-9	True	False	False	False	False	True	Compound	
257	atorvastatin	CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1	InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)/t26-,27-/m1/s1	XUKUURHRXDUEBC-KAYWLYCHSA-N	257.0	134523-00-5	True	False	False	False	False	True	Compound	
260	atropine	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1	InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16?	RKUNBYITZUJHSG-SPUOUPEWSA-N	260.0	51-55-8	True	False	False	False	False	True	Compound	
281	bacitracin						True	False	False	False	False	True	Compound	
284	balsalazide	OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	InChI=1S/C17H15N3O6/c21-14-6-5-12(9-13(14)17(25)26)20-19-11-3-1-10(2-4-11)16(24)18-8-7-15(22)23/h1-6,9,21H,7-8H2,(H,18,24)(H,22,23)(H,25,26)/b20-19+	IPOKCKJONYRRHP-FMQUCBEESA-N	284.0	80573-04-2	True	False	False	False	False	True	Compound	
302	bendamustine	CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl	InChI=1S/C16H21Cl2N3O2/c1-20-14-6-5-12(21(9-7-17)10-8-18)11-13(14)19-15(20)3-2-4-16(22)23/h5-6,11H,2-4,7-10H2,1H3,(H,22,23)	YTKUWDBFDASYHO-UHFFFAOYSA-N	302.0	16506-27-7	True	False	False	False	False	True	Compound	
312	benperidol	FC1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2	InChI=1S/C22H24FN3O2/c23-17-9-7-16(8-10-17)21(27)6-3-13-25-14-11-18(12-15-25)26-20-5-2-1-4-19(20)24-22(26)28/h1-2,4-5,7-10,18H,3,6,11-15H2,(H,24,28)	FEBOTPHFXYHVPL-UHFFFAOYSA-N	312.0	2062-84-2	True	False	False	False	False	True	Compound	
313	diphenidol	OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1	InChI=1S/C21H27NO/c23-21(19-11-4-1-5-12-19,20-13-6-2-7-14-20)15-10-18-22-16-8-3-9-17-22/h1-2,4-7,11-14,23H,3,8-10,15-18H2	OGAKLTJNUQRZJU-UHFFFAOYSA-N	313.0	972-02-1	True	False	False	False	False	True	Compound	
318	benzbromarone	CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=CC=C2	InChI=1S/C17H12Br2O3/c1-2-13-15(10-5-3-4-6-14(10)22-13)16(20)9-7-11(18)17(21)12(19)8-9/h3-8,21H,2H2,1H3	WHQCHUCQKNIQEC-UHFFFAOYSA-N	318.0	3562-84-3	True	False	False	False	False	True	Compound	
333	benzatropine	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(C1=CC=CC=C1)C1=CC=CC=C1	InChI=1S/C21H25NO/c1-22-18-12-13-19(22)15-20(14-18)23-21(16-8-4-2-5-9-16)17-10-6-3-7-11-17/h2-11,18-21H,12-15H2,1H3/t18-,19+,20+	GIJXKZJWITVLHI-PMOLBWCYSA-N	333.0	86-13-5	True	False	False	False	False	True	Compound	
358	bethanechol	CC(C[N+](C)(C)C)OC(N)=O	InChI=1S/C7H16N2O2/c1-6(11-7(8)10)5-9(2,3)4/h6H,5H2,1-4H3,(H-,8,10)/p+1	NZUPCNDJBJXXRF-UHFFFAOYSA-O	358.0	674-38-4	True	False	False	False	False	True	Compound	
361	bexarotene	CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C1=CC=C(C=C1)C(O)=O	InChI=1S/C24H28O2/c1-15-13-20-21(24(5,6)12-11-23(20,3)4)14-19(15)16(2)17-7-9-18(10-8-17)22(25)26/h7-10,13-14H,2,11-12H2,1,3-6H3,(H,25,26)	NAVMQTYZDKMPEU-UHFFFAOYSA-N	361.0	153559-49-0	True	False	False	False	False	True	Compound	
362	bezafibrate	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O	InChI=1S/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)	IIBYAHWJQTYFKB-UHFFFAOYSA-N	362.0	41859-67-0	True	False	False	False	False	True	Compound	
367	bicalutamide	CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F	InChI=1S/C18H14F4N2O4S/c1-17(26,10-29(27,28)14-6-3-12(19)4-7-14)16(25)24-13-5-2-11(9-23)15(8-13)18(20,21)22/h2-8,26H,10H2,1H3,(H,24,25)	LKJPYSCBVHEWIU-UHFFFAOYSA-N	367.0	90357-06-5	True	False	False	False	False	True	Compound	
373	biotin	OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12	InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1	YBJHBAHKTGYVGT-ZKWXMUAHSA-N	373.0	58-85-5	True	False	False	False	False	True	Compound	
374	biperiden	OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1	InChI=1S/C21H29NO/c23-21(19-7-3-1-4-8-19,11-14-22-12-5-2-6-13-22)20-16-17-9-10-18(20)15-17/h1,3-4,7-10,17-18,20,23H,2,5-6,11-16H2	YSXKPIUOCJLQIE-UHFFFAOYSA-N	374.0	514-65-8	True	False	False	False	False	True	Compound	
388	blonanserin	CCN1CCN(CC1)C1=NC2=C(CCCCCC2)C(=C1)C1=CC=C(F)C=C1	InChI=1S/C23H30FN3/c1-2-26-13-15-27(16-14-26)23-17-21(18-9-11-19(24)12-10-18)20-7-5-3-4-6-8-22(20)25-23/h9-12,17H,2-8,13-16H2,1H3	XVGOZDAJGBALKS-UHFFFAOYSA-N	388.0	132810-10-7	True	False	False	False	False	True	Compound	
391	bortezomib	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O	InChI=1S/C19H25BN4O4/c1-13(2)10-17(20(27)28)24-18(25)15(11-14-6-4-3-5-7-14)23-19(26)16-12-21-8-9-22-16/h3-9,12-13,15,17,27-28H,10-11H2,1-2H3,(H,23,26)(H,24,25)/t15-,17-/m0/s1	GXJABQQUPOEUTA-RDJZCZTQSA-N	391.0	179324-69-7	True	False	False	False	False	True	Compound	
395	brimonidine	BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	InChI=1S/C11H10BrN5/c12-9-7(17-11-15-5-6-16-11)1-2-8-10(9)14-4-3-13-8/h1-4H,5-6H2,(H2,15,16,17)	XYLJNLCSTIOKRM-UHFFFAOYSA-N	395.0	59803-98-4	True	False	False	False	False	True	Compound	
402	bromhexine	CN(CC1=C(N)C(Br)=CC(Br)=C1)C1CCCCC1	InChI=1S/C14H20Br2N2/c1-18(12-5-3-2-4-6-12)9-10-7-11(15)8-13(16)14(10)17/h7-8,12H,2-6,9,17H2,1H3	OJGDCBLYJGHCIH-UHFFFAOYSA-N	402.0	3572-43-8	True	False	False	False	False	True	Compound	
403	bromocriptine	CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4CC5=C(Br)NC6=C5C(=CC=C6)C4=C3)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C	InChI=1S/C32H40BrN5O5/c1-16(2)12-24-29(40)37-11-7-10-25(37)32(42)38(24)30(41)31(43-32,17(3)4)35-28(39)18-13-20-19-8-6-9-22-26(19)21(27(33)34-22)14-23(20)36(5)15-18/h6,8-9,13,16-18,23-25,34,42H,7,10-12,14-15H2,1-5H3,(H,35,39)/t18-,23-,24+,25+,31-,32+/m1/s1	OZVBMTJYIDMWIL-AYFBDAFISA-N	403.0	25614-03-3	True	False	False	False	False	True	Compound	
407	bromperidol	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1	InChI=1S/C21H23BrFNO2/c22-18-7-5-17(6-8-18)21(26)11-14-24(15-12-21)13-1-2-20(25)16-3-9-19(23)10-4-16/h3-10,26H,1-2,11-15H2	RKLNONIVDFXQRX-UHFFFAOYSA-N	407.0	10457-90-6	True	False	False	False	False	True	Compound	
422	buflomedil	COC1=CC(OC)=C(C(=O)CCCN2CCCC2)C(OC)=C1	InChI=1S/C17H25NO4/c1-20-13-11-15(21-2)17(16(12-13)22-3)14(19)7-6-10-18-8-4-5-9-18/h11-12H,4-10H2,1-3H3	OWYLAEYXIQKAOL-UHFFFAOYSA-N	422.0	55837-25-7	True	False	False	False	False	True	Compound	
429	bunazosin	CCCC(=O)N1CCCN(CC1)C1=NC2=CC(OC)=C(OC)C=C2C(N)=N1	InChI=1S/C19H27N5O3/c1-4-6-17(25)23-7-5-8-24(10-9-23)19-21-14-12-16(27-3)15(26-2)11-13(14)18(20)22-19/h11-12H,4-10H2,1-3H3,(H2,20,21,22)	RHLJLALHBZGAFM-UHFFFAOYSA-N	429.0	80755-51-7	True	False	False	False	False	True	Compound	
431	levobunolol	CC(C)(C)NC[C@H](O)COC1=C2CCCC(=O)C2=CC=C1	InChI=1S/C17H25NO3/c1-17(2,3)18-10-12(19)11-21-16-9-5-6-13-14(16)7-4-8-15(13)20/h5-6,9,12,18-19H,4,7-8,10-11H2,1-3H3/t12-/m0/s1	IXHBTMCLRNMKHZ-LBPRGKRZSA-N	431.0	47141-42-4	True	False	False	False	False	True	Compound	
437	buspirone	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1	InChI=1S/C21H31N5O2/c27-18-16-21(6-1-2-7-21)17-19(28)26(18)11-4-3-10-24-12-14-25(15-13-24)20-22-8-5-9-23-20/h5,8-9H,1-4,6-7,10-17H2	QWCRAEMEVRGPNT-UHFFFAOYSA-N	437.0	36505-84-7	True	False	False	False	False	True	Compound	
444	butenafine	CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12	InChI=1S/C23H27N/c1-23(2,3)21-14-12-18(13-15-21)16-24(4)17-20-10-7-9-19-8-5-6-11-22(19)20/h5-15H,16-17H2,1-4H3	ABJKWBDEJIDSJZ-UHFFFAOYSA-N	444.0	101828-21-1	True	False	False	False	False	True	Compound	
458	scopolamine butylbromide	CCCC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	InChI=1S/C21H30NO4/c1-3-4-10-22(2)17-11-15(12-18(22)20-19(17)26-20)25-21(24)16(13-23)14-8-6-5-7-9-14/h5-9,15-20,23H,3-4,10-13H2,1-2H3/q+1/t15-,16-,17-,18+,19-,20+,22?/m1/s1	YBCNXCRZPWQOBR-WVHCHWADSA-N	458.0	7182-53-8	True	False	False	False	False	True	Compound	
460	cabergoline	CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(CC=C)C1	InChI=1S/C26H37N5O2/c1-5-11-30-17-19(25(32)31(26(33)27-6-2)13-8-12-29(3)4)14-21-20-9-7-10-22-24(20)18(16-28-22)15-23(21)30/h5,7,9-10,16,19,21,23,28H,1,6,8,11-15,17H2,2-4H3,(H,27,33)/t19-,21-,23-/m1/s1	KORNTPPJEAJQIU-KJXAQDMKSA-N	460.0	81409-90-7	True	False	False	False	False	True	Compound	
461	cadralazine	CCOC(=O)NNC1=CC=C(N=N1)N(CC)CC(C)O	InChI=1S/C12H21N5O3/c1-4-17(8-9(3)18)11-7-6-10(13-15-11)14-16-12(19)20-5-2/h6-7,9,18H,4-5,8H2,1-3H3,(H,13,14)(H,16,19)	QLTVVOATEHFXLT-UHFFFAOYSA-N	461.0	64241-34-5	True	False	False	False	False	True	Compound	
463	caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	RYYVLZVUVIJVGH-UHFFFAOYSA-N	463.0	58-08-2	True	False	False	False	False	True	Compound	
