drug_name	host_protein	action_type	p_chembl	metadata	is_experimental	data_source	abbreviated_data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score_type	directed	source_specific_score	edge_label
adenosine triphosphate	P2RY4	unknown||unknown	6.2||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine triphosphate_P2RY4
adenosine triphosphate	TRPM4	blocker||unknown	5.8||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	adenosine triphosphate_TRPM4
afatinib	ABL1	unknown	6.64	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_ABL1
afatinib	CIT	unknown	5.54	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_CIT
afatinib	DYRK1A	unknown	6.01	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_DYRK1A
afatinib	ERBB2	inhibitor	8.3	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_ERBB2
afatinib	FLT3	unknown	5.85	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_FLT3
afatinib	MAPK14	unknown	5.89	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_MAPK14
afatinib	SRC	unknown	5.55	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	afatinib_SRC
aflibercept	VEGFA	inhibitor	12.301030158996598	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aflibercept_VEGFA
alcuronium	CHRM2	allosteric modulator	6.9	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alcuronium_CHRM2
alectinib	RET	inhibitor	8.31875896453857	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alectinib_RET
alexidine	TLR9	unknown	5.21000003814697	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alexidine_TLR9
alfuzosin	ADRA1D	antagonist	8.44	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alfuzosin_ADRA1D
alimemazine	GFER	unknown	5.900000095367429	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alimemazine_GFER
alogliptin	DPP4	inhibitor||unknown	9.0||nan	is_activity_known:True||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	alogliptin_DPP4
alpha-Ergocryptine	ADRA1D	unknown	8.368556231	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alpha-Ergocryptine_ADRA1D
alprazolam	BRD4	unknown	5.61	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alprazolam_BRD4
alteplase	PLG	activator	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	alteplase_PLG
amantadine	SIGMAR1	unknown	7.69	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amantadine_SIGMAR1
amantadine	SLC47A1	unknown	4.42	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amantadine_SLC47A1
aminocaproic acid	PLAT	inhibitor	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aminocaproic acid_PLAT
aminocaproic acid	PLG	inhibitor	4.4	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aminocaproic acid_PLG
aminopterin	DHFR	unknown	9.68	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aminopterin_DHFR
aminosalicylic acid	PTPN1	unknown	2.92	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aminosalicylic acid_PTPN1
amiodarone	CHRM2	unknown	5.7432822539999995	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amiodarone_CHRM2
amiodarone	ERBB2	unknown	5.038673844	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amiodarone_ERBB2
amiodarone	SIGMAR1	unknown	7.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amiodarone_SIGMAR1
amitriptyline	ADRA1D	unknown	8.251811972999999	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amitriptyline_ADRA1D
amitriptyline	CHRM2	unknown	8.1	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amitriptyline_CHRM2
amitriptyline	RET	unknown	6.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amitriptyline_RET
amitriptyline	SIGMAR1	unknown	6.25	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amitriptyline_SIGMAR1
amitriptylinoxide	RET	unknown	5.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amitriptylinoxide_RET
amlexanox	TBK1	inhibitor	6.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amlexanox_TBK1
amlodipine	ADRA1D	unknown	5.27	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amlodipine_ADRA1D
amoxapine	ADRA1D	unknown	6.841637508	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amoxapine_ADRA1D
amoxapine	CHRM2	unknown	6.030118356	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	amoxapine_CHRM2
ampicillin	TRPM4	unknown	4.72	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	ampicillin_TRPM4
anagliptin	DPP4	inhibitor	8.42021656036377	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	anagliptin_DPP4
androisoxazole	AR	unknown	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	androisoxazole_AR
androstanolone	AR	unknown	9.7	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	androstanolone_AR
androstenediol	AR	unknown	6.64	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	androstenediol_AR
anhydrovinblastine	ABCC1	unknown	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	anhydrovinblastine_ABCC1
anisindione	GGCX	inhibitor	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	anisindione_GGCX
apalutamide	AR	inhibitor	7.79588	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	apalutamide_AR
apatinib	CSK	inhibitor	6.28	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	apatinib_CSK
apatinib	RET	inhibitor	7.886056423187259	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	apatinib_RET
apatinib	SRC	inhibitor	6.27572393417358	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	apatinib_SRC
apomorphine	ADRA1D	unknown	7.1871	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	apomorphine_ADRA1D
aprotinin	PLG	inhibitor	6.8	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aprotinin_PLG
argatroban	PLAT	unknown	4.06	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	argatroban_PLAT
aripiprazole	CHRM2	unknown	5.45487833023071	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	aripiprazole_CHRM2
asenapine	CHRM2	unknown	6.038578906000001	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	asenapine_CHRM2
astemizole	ADRA1D	unknown	8.004364805	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	astemizole_ADRA1D
astemizole	CHRM2	unknown	6.300162274	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	astemizole_CHRM2
astemizole	ERBB2	unknown	4.883259465	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	astemizole_ERBB2
astemizole	SIGMAR1	unknown	6.025028006	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	astemizole_SIGMAR1
astemizole	SLC28A1	unknown	5.311936303	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	astemizole_SLC28A1
astemizole	SLC47A1	unknown	4.58	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	astemizole_SLC47A1
atorvastatin	HDAC2	unknown	4.65	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	atorvastatin_HDAC2
atropine	ADRA1D	unknown	6.1765257710000006	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	atropine_ADRA1D
atropine	CHRM2	antagonist	8.97	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	atropine_CHRM2
axitinib	ABL1	unknown	8.82	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_ABL1
axitinib	CSK	unknown	5.96	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_CSK
axitinib	CSNK2A2	unknown	5.55	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_CSNK2A2
axitinib	FLT1	inhibitor	8.24	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_FLT1
axitinib	FLT3	unknown	7.51	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_FLT3
axitinib	MAP4K1	unknown	6.48	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_MAP4K1
axitinib	MAPK8	unknown	5.41	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_MAPK8
axitinib	RET	unknown	7.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_RET
axitinib	RIPK1	unknown	5.6	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	axitinib_RIPK1
azacitidine	ADORA1	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	azacitidine_ADORA1
azacitidine	DNMT1	inhibitor||unknown	3.0||nan	is_activity_known:False||Chemical space:NHC	True||False	https://drugcentral.org/||Prediction by Jordi Mestres, PhD (JM)	dti_dc||dti_jm_nhc	web||File shared by JM	False||False	False||True	p_chembl||na	True||True	nan||na	azacitidine_DNMT1
baicalin	CDK1	unknown	4.84	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	baicalin_CDK1
balsalazide	PPARG	agonist	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	balsalazide_PPARG
belinostat	HDAC2	inhibitor	9.07	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	belinostat_HDAC2
bendamustine	HDAC2	unknown	8.05	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bendamustine_HDAC2
benperidol	SIGMAR1	unknown	5.94	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benperidol_SIGMAR1
benzatropine	ADRA1D	unknown	7.585026652000001	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzatropine_ADRA1D
benzatropine	CHRM2	antagonist	8.8539	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzatropine_CHRM2
benzatropine	SIGMAR1	unknown	7.229147987999999	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzatropine_SIGMAR1
benzbromarone	ABCC1	unknown	6.72	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzbromarone_ABCC1
benzbromarone	MAPK1	unknown	5.710857164	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzbromarone_MAPK1
benzbromarone	MAPK14	unknown	5.908333042000001	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzbromarone_MAPK14
benzethonium	CHRM2	unknown	6.690369832999999	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzethonium_CHRM2
benzethonium	ERBB2	unknown	5.681102285	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	benzethonium_ERBB2
bethanechol	CHRM2	agonist	4.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bethanechol_CHRM2
bevacizumab	VEGFA	antibody binding	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bevacizumab_VEGFA
bexarotene	PPARG	antagonist	5.52	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bexarotene_PPARG
bezafibrate	PPARG	unknown	4.1778	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bezafibrate_PPARG
bicalutamide	AR	antagonist	7.72	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bicalutamide_AR
bietamiverine	CHRM2	unknown	5.99	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bietamiverine_CHRM2
binodenoson	ADORA1	unknown	nan	Chemical space:NHC	False	Prediction by Jordi Mestres, PhD (JM)	dti_jm_nhc	File shared by JM	False	True	na	True	na	binodenoson_ADORA1
biotin	IDE	unknown	5.599999904632571	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	biotin_IDE
biperiden	CHRM2	antagonist	8.2	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	biperiden_CHRM2
bithionol	ERBB2	unknown	5.6681679560000005	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bithionol_ERBB2
bithionol	MAPK1	unknown	6.41453927	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bithionol_MAPK1
bithionol	MAPK14	unknown	6.49757288	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bithionol_MAPK14
bithionol	SLC47A1	unknown	5.28	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bithionol_SLC47A1
blonanserin	SIGMAR1	unknown	6.54	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	blonanserin_SIGMAR1
boceprevir	CTSA	inhibitor	6.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	boceprevir_CTSA
boceprevir	CTSL	unknown	6.12	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	boceprevir_CTSL
bortezomib	CTSA	unknown	5.04	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bortezomib_CTSA
bosutinib	ABL1	inhibitor	10.54	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_ABL1
bosutinib	CDK7	unknown	5.92	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_CDK7
bosutinib	CIT	unknown	5.62	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_CIT
bosutinib	CSK	unknown	7.49	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_CSK
bosutinib	EIF2AK4	unknown	6.57	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_EIF2AK4
bosutinib	ERBB2	unknown	5.6	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_ERBB2
bosutinib	FLT3	unknown	6.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_FLT3
bosutinib	MAP3K1	unknown	5.36	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_MAP3K1
bosutinib	MAP4K1	unknown	7.82	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_MAP4K1
bosutinib	PRKCD	unknown	5.8	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_PRKCD
bosutinib	RET	unknown	5.42	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_RET
bosutinib	ROCK1	unknown	6.06	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_ROCK1
bosutinib	SRC	inhibitor	9.0	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_SRC
bosutinib	TBK1	unknown	6.6	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bosutinib_TBK1
brexpiprazole	ADRA1D	antagonist	8.58502674102783	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	brexpiprazole_ADRA1D
brigatinib	FLT3	inhibitor	8.6777811050415	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	brigatinib_FLT3
brimonidine	ADRA1D	unknown	6.072629637	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	brimonidine_ADRA1D
brolucizumab	VEGFA	inhibitor	8.8	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	brolucizumab_VEGFA
bromhexine	SIGMAR1	unknown	7.602059991	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bromhexine_SIGMAR1
bromocriptine	ADRA1D	unknown	8.549750892	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bromocriptine_ADRA1D
bromperidol	CHRM2	unknown	5.744727611541751	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bromperidol_CHRM2
bromperidol	SIGMAR1	unknown	9.02	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bromperidol_SIGMAR1
buflomedil	ADRA1D	unknown	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	buflomedil_ADRA1D
buflomedil	SIGMAR1	unknown	5.89	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	buflomedil_SIGMAR1
bufylline	ADORA1	antagonist	9.22	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bufylline_ADORA1
bunazosin	NQO2	unknown	3.0	is_activity_known:False	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	bunazosin_NQO2
buspirone	ADRA1D	unknown	6.276544328	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	buspirone_ADRA1D
buspirone	SIGMAR1	unknown	7.3188	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	buspirone_SIGMAR1
buspirone	SLC47A1	unknown	5.77	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	buspirone_SLC47A1
butenafine	SIGMAR1	unknown	5.779499653999999	is_activity_known:True	True	https://drugcentral.org/	dti_dc	web	False	False	p_chembl	True	nan	butenafine_SIGMAR1
