source_node	target_node	p_chembl	action_type	is_activity_known	source	data_origin	priority	relationship	edge_label	is_in_drugcentral	is_in_jdti	comment	pmids	metadata	struct_id	drug_name
-2	SLC28A3	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-2_SLC28A3	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-2	uridine
-2	SLC29A1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-2_SLC29A1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-2	uridine
-2	SLC29A2	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-2_SLC29A2	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-2	uridine
-2	SLC29A3	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-2_SLC29A3	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-2	uridine
-1	P2RY2	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-1_P2RY2	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-1	denufosol
-1	P2RY4	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	-1_P2RY4	False	True			orig_direction_jdti:manually_assigned_drug_to_target	-1	denufosol
21	DHFR	9.68	unknown	True	DrugCentral	Web download	0	DTI	21_DHFR	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	21	aminopterin
24	HDAC2	4.19	unknown	True	DrugCentral	Web download	0	DTI	24_HDAC2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	24	phenylbutanoic acid
25	ADORA1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	25_ADORA1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	25	azacitidine
25	DNMT1	3.0	inhibitor	False	DrugCentral	Web download	0	DTI	25_DNMT1	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	25	azacitidine
43	MAPK1	5.227165073	unknown	True	DrugCentral	Web download	0	DTI	43_MAPK1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	43	aceclofenac
43	TTR	5.92	unknown	True	DrugCentral	Web download	0	DTI	43_TTR	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	43	aceclofenac
65	CHRM2	6.5	agonist	True	DrugCentral	Web download	0	DTI	65_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	65	acetylcholine
66	VEGFA	3.0	unknown	False	DrugCentral	Web download	0	DTI	66_VEGFA	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	66	acetylcysteine
73	PRNP	5.3	unknown	True	DrugCentral	Web download	0	DTI	73_PRNP	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	73	acepromazine
90	ADA	4.6021	unknown	True	DrugCentral	Web download	0	DTI	90_ADA	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	90	adenosine
90	ADK	6.0	unknown	True	DrugCentral	Web download	0	DTI	90_ADK	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	ADORA1	6.5086	agonist	True	DrugCentral	Web download	0	DTI	90_ADORA1	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	DPP4	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_DPP4	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	GAPDH	4.46	unknown	True	DrugCentral	Web download	0	DTI	90_GAPDH	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	90	adenosine
90	GHSR	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_GHSR	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	HINT1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_HINT1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	IARS1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_IARS1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	MAPK14	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_MAPK14	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	PRKAR1A	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_PRKAR1A	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	SLC28A1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_SLC28A1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	SLC28A3	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_SLC28A3	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	SLC5A7	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_SLC5A7	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
90	TMIGD3	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	90_TMIGD3	False	True			orig_direction_jdti:manually_assigned_drug_to_target	90	adenosine
91	HSPA1A	5.46999979019165	unknown	True	DrugCentral	Web download	0	DTI	91_HSPA1A	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	91	adenosine triphosphate
91	HSPA8	4.76000022888184	unknown	True	DrugCentral	Web download	0	DTI	91_HSPA8	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	91	adenosine triphosphate
91	P2RX1	7.25	agonist	True	DrugCentral	Web download	0	DTI	91_P2RX1	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	91	adenosine triphosphate
91	P2RX3	7.835647144	unknown	True	DrugCentral	Web download	0	DTI	91_P2RX3	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	91	adenosine triphosphate
91	P2RX4	6.3	agonist	True	DrugCentral	Web download	0	DTI	91_P2RX4	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	91	adenosine triphosphate
91	P2RY2	7.1	agonist	True	DrugCentral	Web download	0	DTI	91_P2RY2	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	91	adenosine triphosphate
91	P2RY4	6.2	unknown	True	DrugCentral	Web download	0	DTI	91_P2RY4	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	91	adenosine triphosphate
91	TRPM4	5.8	blocker	True	DrugCentral	Web download	0	DTI	91_TRPM4	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	91	adenosine triphosphate
92	SRC	7.0	unknown	True	DrugCentral	Web download	0	DTI	92_SRC	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	92	adenosine phosphate
92	TRPM4	4.7	gating inhibitor	True	DrugCentral	Web download	0	DTI	92_TRPM4	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	92	adenosine phosphate
109	CHRM2	6.9	allosteric modulator	True	DrugCentral	Web download	0	DTI	109_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	109	alcuronium
113	TLR9	5.21000003814697	unknown	True	DrugCentral	Web download	0	DTI	113_TLR9	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	113	alexidine
115	ADRA1D	8.44	antagonist	True	DrugCentral	Web download	0	DTI	115_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	115	alfuzosin
136	BRD4	5.61	unknown	True	DrugCentral	Web download	0	DTI	136_BRD4	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	136	alprazolam
144	SIGMAR1	7.69	unknown	True	DrugCentral	Web download	0	DTI	144_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	144	amantadine
144	SLC47A1	4.42	unknown	True	DrugCentral	Web download	0	DTI	144_SLC47A1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	144	amantadine
163	PLAT	3.0	inhibitor	False	DrugCentral	Web download	0	DTI	163_PLAT	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	163	aminocaproic acid
163	PLG	4.4	inhibitor	True	DrugCentral	Web download	0	DTI	163_PLG	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	163	aminocaproic acid
176	CHRM2	5.7432822539999995	unknown	True	DrugCentral	Web download	0	DTI	176_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	176	amiodarone
176	ERBB2	5.038673844	unknown	True	DrugCentral	Web download	0	DTI	176_ERBB2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	176	amiodarone
176	SIGMAR1	7.0	unknown	True	DrugCentral	Web download	0	DTI	176_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	176	amiodarone
180	ADRA1D	8.251811972999999	unknown	True	DrugCentral	Web download	0	DTI	180_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	180	amitriptyline
180	CHRM2	8.1	unknown	True	DrugCentral	Web download	0	DTI	180_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	180	amitriptyline
180	RET	6.0	unknown	True	DrugCentral	Web download	0	DTI	180_RET	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	180	amitriptyline
180	SIGMAR1	6.25	unknown	True	DrugCentral	Web download	0	DTI	180_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	180	amitriptyline
181	RET	5.0	unknown	True	DrugCentral	Web download	0	DTI	181_RET	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	181	amitriptylinoxide
182	TBK1	6.0	inhibitor	True	DrugCentral	Web download	0	DTI	182_TBK1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	182	amlexanox
183	ADRA1D	5.27	unknown	True	DrugCentral	Web download	0	DTI	183_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	183	amlodipine
191	ADRA1D	6.841637508	unknown	True	DrugCentral	Web download	0	DTI	191_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	191	amoxapine
191	CHRM2	6.030118356	unknown	True	DrugCentral	Web download	0	DTI	191_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	191	amoxapine
198	TRPM4	4.72	unknown	True	DrugCentral	Web download	0	DTI	198_TRPM4	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	198	ampicillin
213	AR	3.0	unknown	False	DrugCentral	Web download	0	DTI	213_AR	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	213	androisoxazole
214	AR	6.64	unknown	True	DrugCentral	Web download	0	DTI	214_AR	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	214	androstenediol
219	ABCC1	3.0	unknown	False	DrugCentral	Web download	0	DTI	219_ABCC1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	219	anhydrovinblastine
222	GGCX	3.0	inhibitor	False	DrugCentral	Web download	0	DTI	222_GGCX	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	222	anisindione
228	ADRA1D	7.1871	unknown	True	DrugCentral	Web download	0	DTI	228_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	228	apomorphine
239	PLAT	4.06	unknown	True	DrugCentral	Web download	0	DTI	239_PLAT	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	239	argatroban
242	CHRM2	5.45487833023071	unknown	True	DrugCentral	Web download	0	DTI	242_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	242	aripiprazole
249	ADRA1D	8.004364805	unknown	True	DrugCentral	Web download	0	DTI	249_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
249	CHRM2	6.300162274	unknown	True	DrugCentral	Web download	0	DTI	249_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
249	ERBB2	4.883259465	unknown	True	DrugCentral	Web download	0	DTI	249_ERBB2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
249	LCK	4.700710666	unknown	True	DrugCentral	Web download	0	DTI	249_LCK	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
249	SIGMAR1	6.025028006	unknown	True	DrugCentral	Web download	0	DTI	249_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
249	SLC28A1	5.311936303	unknown	True	DrugCentral	Web download	0	DTI	249_SLC28A1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
249	SLC47A1	4.58	unknown	True	DrugCentral	Web download	0	DTI	249_SLC47A1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	249	astemizole
257	HDAC2	4.65	unknown	True	DrugCentral	Web download	0	DTI	257_HDAC2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	257	atorvastatin
260	ADRA1D	6.1765257710000006	unknown	True	DrugCentral	Web download	0	DTI	260_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	260	atropine
260	CHRM2	8.97	antagonist	True	DrugCentral	Web download	0	DTI	260_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	260	atropine
281	LCK	5.716020716	unknown	True	DrugCentral	Web download	0	DTI	281_LCK	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	281	bacitracin
284	PPARG	3.0	agonist	False	DrugCentral	Web download	0	DTI	284_PPARG	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	284	balsalazide
302	HDAC2	8.05	unknown	True	DrugCentral	Web download	0	DTI	302_HDAC2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	302	bendamustine
312	SIGMAR1	5.94	unknown	True	DrugCentral	Web download	0	DTI	312_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	312	benperidol
313	CHRM2	6.562249437	unknown	True	DrugCentral	Web download	0	DTI	313_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	313	diphenidol
313	SIGMAR1	6.966576245	unknown	True	DrugCentral	Web download	0	DTI	313_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	313	diphenidol
318	ABCC1	6.72	unknown	True	DrugCentral	Web download	0	DTI	318_ABCC1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	318	benzbromarone
318	MAPK1	5.710857164	unknown	True	DrugCentral	Web download	0	DTI	318_MAPK1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	318	benzbromarone
318	MAPK14	5.908333042000001	unknown	True	DrugCentral	Web download	0	DTI	318_MAPK14	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	318	benzbromarone
333	ADRA1D	7.585026652000001	unknown	True	DrugCentral	Web download	0	DTI	333_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	333	benzatropine
333	CHRM2	8.8539	antagonist	True	DrugCentral	Web download	0	DTI	333_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	333	benzatropine
333	SIGMAR1	7.229147987999999	unknown	True	DrugCentral	Web download	0	DTI	333_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	333	benzatropine
358	CHRM2	4.0	agonist	True	DrugCentral	Web download	0	DTI	358_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	358	bethanechol
361	PPARG	5.52	antagonist	True	DrugCentral	Web download	0	DTI	361_PPARG	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	361	bexarotene
362	PPARG	4.1778	unknown	True	DrugCentral	Web download	0	DTI	362_PPARG	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	362	bezafibrate
367	AR	7.72	antagonist	True	DrugCentral	Web download	0	DTI	367_AR	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	367	bicalutamide
373	IDE	5.599999904632571	unknown	True	DrugCentral	Web download	0	DTI	373_IDE	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	373	biotin
374	CHRM2	8.2	antagonist	True	DrugCentral	Web download	0	DTI	374_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	374	biperiden
388	SIGMAR1	6.54	unknown	True	DrugCentral	Web download	0	DTI	388_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	388	blonanserin
391	CTSA	5.04	unknown	True	DrugCentral	Web download	0	DTI	391_CTSA	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	391	bortezomib
395	ADRA1D	6.072629637	unknown	True	DrugCentral	Web download	0	DTI	395_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	395	brimonidine
402	SIGMAR1	7.602059991	unknown	True	DrugCentral	Web download	0	DTI	402_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	402	bromhexine
403	ADRA1D	8.549750892	unknown	True	DrugCentral	Web download	0	DTI	403_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	403	bromocriptine
407	CHRM2	5.744727611541751	unknown	True	DrugCentral	Web download	0	DTI	407_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	407	bromperidol
407	SIGMAR1	9.02	unknown	True	DrugCentral	Web download	0	DTI	407_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	407	bromperidol
422	ADRA1D	3.0	unknown	False	DrugCentral	Web download	0	DTI	422_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	422	buflomedil
422	SIGMAR1	5.89	unknown	True	DrugCentral	Web download	0	DTI	422_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	422	buflomedil
429	NQO2	3.0	unknown	False	DrugCentral	Web download	0	DTI	429_NQO2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	429	bunazosin
431	SIGMAR1	6.488116638999999	unknown	True	DrugCentral	Web download	0	DTI	431_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	431	levobunolol
437	ADRA1D	6.276544328	unknown	True	DrugCentral	Web download	0	DTI	437_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	437	buspirone
437	SIGMAR1	7.3188	unknown	True	DrugCentral	Web download	0	DTI	437_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	437	buspirone
437	SLC47A1	5.77	unknown	True	DrugCentral	Web download	0	DTI	437_SLC47A1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	437	buspirone
444	SIGMAR1	5.779499653999999	unknown	True	DrugCentral	Web download	0	DTI	444_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	444	butenafine
458	CHRM2	3.0	unknown	False	DrugCentral	Web download	0	DTI	458_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	458	scopolamine butylbromide
460	ADRA1D	6.78	unknown	True	DrugCentral	Web download	0	DTI	460_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	460	cabergoline
461	MPO	5.301	unknown	True	DrugCentral	Web download	0	DTI	461_MPO	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	461	cadralazine
463	ADORA1	4.97	antagonist	True	DrugCentral	Web download	0	DTI	463_ADORA1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	463	caffeine
471	KLK1	5.83	unknown	True	DrugCentral	Web download	0	DTI	471_KLK1	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	471	camostat
471	PLG	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	471_PLG	False	True			orig_direction_jdti:manually_assigned_drug_to_target	471	camostat
471	PRSS1	7.3	inhibitor	True	DrugCentral	Web download	0	DTI	471_PRSS1	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	471	camostat
471	SLC47A1	5.54	unknown	True	DrugCentral	Web download	0	DTI	471_SLC47A1	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	471	camostat
471	TPSAB1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	471_TPSAB1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	471	camostat
475	ERBB2	5.230000019073491	unknown	True	DrugCentral	Web download	0	DTI	475_ERBB2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	475	candesartan cilexetil
486	SIGMAR1	7.81	unknown	True	DrugCentral	Web download	0	DTI	486_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	486	caramiphen
488	CHRM2	7.9208	unknown	True	DrugCentral	Web download	0	DTI	488_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	488	carbachol
494	CHRM2	6.78	unknown	True	DrugCentral	Web download	0	DTI	494_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	494	pentoxyverine
494	SIGMAR1	7.71	unknown	True	DrugCentral	Web download	0	DTI	494_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	494	pentoxyverine
496	LCK	5.1678105389999995	unknown	True	DrugCentral	Web download	0	DTI	496_LCK	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	496	carbidopa
511	MAPK3	5.213177621	unknown	True	DrugCentral	Web download	0	DTI	511_MAPK3	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	511	carmofur
522	ADRA1D	9.054039296000001	antagonist	True	DrugCentral	Web download	0	DTI	522_ADRA1D	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	522	carvedilol
522	APP	4.52	unknown	True	DrugCentral	Web download	0	DTI	522_APP	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	522	carvedilol
522	SLC47A1	4.03	unknown	True	DrugCentral	Web download	0	DTI	522_SLC47A1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	522	carvedilol
547	COMT	4.85	unknown	True	DrugCentral	Web download	0	DTI	547_COMT	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	547	cefotetan
568	MAPK14	6.09	unknown	True	DrugCentral	Web download	0	DTI	568_MAPK14	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	568	celecoxib
575	SIGMAR1	6.21	unknown	True	DrugCentral	Web download	0	DTI	575_SIGMAR1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	575	cefapirin
584	CHRM2	5.983	unknown	True	DrugCentral	Web download	0	DTI	584_CHRM2	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	584	cevimeline
588	ADAM9	7.25	unknown	True	DrugCentral	Web download	0	DTI	588_ADAM9	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	588	chlorambucil
597	SLC47A1	6.15	unknown	True	DrugCentral	Web download	0	DTI	597_SLC47A1	True	False			orig_direction_drugcentral:manually_assigned_drug_to_target	597	chlorhexidine
607	APP	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_APP	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	BACE1	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_BACE1	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	DHFR	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_DHFR	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	NQO2	5.82	unknown	True	DrugCentral	Web download	0	DTI	607_NQO2	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	PRNP	5.4	unknown	True	DrugCentral	Web download	0	DTI	607_PRNP	True	True			orig_direction_drugcentral:manually_assigned_drug_to_target;orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	TLR7	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_TLR7	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	TLR8	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_TLR8	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	TLR9	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_TLR9	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
607	TRAF3	3.0	unknown	False	DTI - Predicted	Data share on 2020/04/15 by collaborators.	8	DTI	607_TRAF3	False	True			orig_direction_jdti:manually_assigned_drug_to_target	607	chloroquine
